Tabelle: DD02T
Angezeigte Felder:  3 von  3  Feststehende Führungsspalten: 2  Listbreite 0250
------------------------------------------------------------------------------------------------------------
| |TABNAME                         |DDLANGUAGE|DDTEXT                                                      |
------------------------------------------------------------------------------------------------------------
| |E1100                           |U         |Sanomat                                                     |
| |E1682                           |U         |Ehdot: hakujärjestykset                                     |
| |E1682I                          |U         |Ehdot: hakujärjestykset (generoitu muoto)                   |
| |E1682T                          |U         |Ehdot: hakujärjestykset: tekstit                            |
| |E1682Z1                         |U         |Ehdot: hakujärjestykset (kentät)                            |
| |E1683                           |U         |Laskentakaaviot (vain 40C)                                  |
| |E1683S                          |U         |Laskentakaaviot: tiedot                                     |
| |E1683T                          |U         |Laskentakaaviot: tekstit                                    |
| |E1683U                          |U         |Ehdot: kaavio (teksti)                                      |
| |E1684                           |U         |Ehtojen poisjättöryhmät                                     |
| |E1684G                          |U         |Ehtojen poisjättöryhmät: ehtolajit                          |
| |E1684S                          |U         |Ehtojen poisjättö: kaavion kohdistus                        |
| |E1684T                          |U         |Ehtojen poisjättö: tekstit                                  |
| |E1685                           |U         |Ehdot: lajit                                                |
| |E1685A                          |U         |Ehtolajit: hintaelementtien lisätiedot                      |
| |E1685T                          |U         |Ehtolajit: tekstit                                          |
| |E1685Z                          |U         |Ehtolajit: hintaelementtien ala-/ylärajat                   |
| |E1686A                          |U         |Ehdot: poisjättötunnus                                      |
| |E1686B                          |U         |Ehdot: poisjättötunnus: tekstit                             |
| |E1ABSE1                         |U         |KK1 - läsnä-/poissaolosyyt                                  |
| |E1ACA1                          |U         |Taloushallinnon kirjaus: lasku (rivi)                       |
| |E1ACA1C                         |U         |Taloushallinnon kirjaus: lasku (valuuttakentät, rivi)       |
| |E1ACA2                          |U         |Taloushallinnon kirjaus materiaalihallinnosta: rivi         |
| |E1ACA2C                         |U         |Taloushallinnon kirjaus materiaalihallinnosta: valuutat     |
| |E1ACA3                          |U         |Taloushallinnon kirjaus: saapuva lasku (rivi)               |
| |E1ACA3C                         |U         |Taloushall. kirjaus: saapuva lasku (valuuttakenttä, rivi)   |
| |E1ACCON                         |U         |IDOC-käsittelyn vahvistus sovelluksesta                     |
| |E1ACC_ACT_ALLOC                 |U         |Otsikkosegmentti                                            |
| |E1ACC_N_I_ALLOC_ACT             |U         |Otsikkosegmentti                                            |
| |E1ACC_PRIM_COSTS                |U         |Otsikkosegmentti                                            |
| |E1ACC_REVENUES                  |U         |Otsikkosegmentti                                            |
| |E1ACC_SENDER_ACTIVITIES         |U         |Otsikkosegmentti                                            |
| |E1ACC_STAT_KEY_FIG              |U         |Otsikkosegmentti                                            |
| |E1ACD1                          |U         |Taloushallinnon kirjaus: lasku (asiakas)                    |
| |E1ACD1C                         |U         |Taloushallinnon kirjaus: lasku (valuuttakentät, asiakas)    |
